ticker,date,close
XOM,2019-07-22,75.07
XOM,2019-07-19,74.99
XOM,2019-07-18,74.84
XOM,2019-07-17,75.48
XOM,2019-07-16,75.93
XOM,2019-07-15,77.08
XOM,2019-07-12,77.63
XOM,2019-07-11,77.57
XOM,2019-07-10,77.51
XOM,2019-07-09,76.43
XOM,2019-07-08,76.48
XOM,2019-07-05,76.13
XOM,2019-07-03,76.44
XOM,2019-07-02,75.72
XOM,2019-07-01,76.56
XOM,2019-06-28,76.63
XOM,2019-06-27,75.82
XOM,2019-06-26,76.6
XOM,2019-06-25,76.27
XOM,2019-06-24,76.95
XOM,2019-06-21,77.69
XOM,2019-06-20,76.61
XOM,2019-06-19,75.32
XOM,2019-06-18,75.74
XOM,2019-06-17,75.09
XOM,2019-06-14,74.35
XOM,2019-06-13,74.68
XOM,2019-06-12,74.03
XOM,2019-06-11,74.84
XOM,2019-06-10,74.91
XOM,2019-06-07,74.58
XOM,2019-06-06,74.31
XOM,2019-06-05,72.98
XOM,2019-06-04,73.59
XOM,2019-06-03,71.88
XOM,2019-05-31,70.77
XOM,2019-05-30,71.97
XOM,2019-05-29,72.16
XOM,2019-05-28,72.61
XOM,2019-05-24,74.1
XOM,2019-05-23,73.79
XOM,2019-05-22,75.56
XOM,2019-05-21,76.25
XOM,2019-05-20,75.9
XOM,2019-05-17,75.91
XOM,2019-05-16,76.36
XOM,2019-05-15,76.37
XOM,2019-05-14,75.81
XOM,2019-05-13,75.71
XOM,2019-05-10,76.56
XOM,2019-05-09,76.77
XOM,2019-05-08,76.84
XOM,2019-05-07,76.72
XOM,2019-05-06,77.13
XOM,2019-05-03,77.47
XOM,2019-05-02,77.29
XOM,2019-05-01,78.67
XOM,2019-04-30,80.28
XOM,2019-04-29,79.97
XOM,2019-04-26,80.49
XOM,2019-04-25,82.22
XOM,2019-04-24,81.76
XOM,2019-04-23,83.38
XOM,2019-04-22,82.9
XOM,2019-04-18,81.13
XOM,2019-04-17,81.43
XOM,2019-04-16,81.2
XOM,2019-04-15,80.65
XOM,2019-04-12,80.92
XOM,2019-04-11,81.95
XOM,2019-04-10,81.56
XOM,2019-04-09,81.93
XOM,2019-04-08,83
XOM,2019-04-05,82.49
XOM,2019-04-04,82.05
XOM,2019-04-03,80.9
XOM,2019-04-02,81.38
XOM,2019-04-01,81.73
XOM,2019-03-29,80.8
XOM,2019-03-28,80.74
XOM,2019-03-27,80.34
XOM,2019-03-26,80.96
XOM,2019-03-25,79.92
XOM,2019-03-22,80.48
XOM,2019-03-21,81.79
XOM,2019-03-20,81.32
XOM,2019-03-19,80.87
XOM,2019-03-18,81.08
XOM,2019-03-15,80.15
XOM,2019-03-14,80.44
XOM,2019-03-13,80.71
XOM,2019-03-12,80
XOM,2019-03-11,79.78
XOM,2019-03-08,79.01
XOM,2019-03-07,80.16
XOM,2019-03-06,79.28
XOM,2019-03-05,80.19
XOM,2019-03-04,80.31
XOM,2019-03-01,80
XOM,2019-02-28,79.03
XOM,2019-02-27,79.47
XOM,2019-02-26,78.66
XOM,2019-02-25,78.5
XOM,2019-02-22,78.42
XOM,2019-02-21,77.82
XOM,2019-02-20,78.53
XOM,2019-02-19,78.23
XOM,2019-02-15,77.71
XOM,2019-02-14,76.27
XOM,2019-02-13,76.25
XOM,2019-02-12,75.4
XOM,2019-02-11,74.1
XOM,2019-02-08,73.98
XOM,2019-02-07,74.68
XOM,2019-02-06,75.26
XOM,2019-02-05,75.59
XOM,2019-02-04,74.82
XOM,2019-02-01,75.92
XOM,2019-01-31,73.28
XOM,2019-01-30,72.29
XOM,2019-01-29,71.51
XOM,2019-01-28,71.24
XOM,2019-01-25,71.72
XOM,2019-01-24,71.4
XOM,2019-01-23,71.3
XOM,2019-01-22,71.89
XOM,2019-01-18,72.99
XOM,2019-01-17,72.13
XOM,2019-01-16,71.64
XOM,2019-01-15,71.67
XOM,2019-01-14,71.63
XOM,2019-01-11,71.72
XOM,2019-01-10,72.05
XOM,2019-01-09,72.42
XOM,2019-01-08,72.04
XOM,2019-01-07,71.52
XOM,2019-01-04,71.15
XOM,2019-01-03,68.62
XOM,2019-01-02,69.69
XOM,2018-12-31,68.19
XOM,2018-12-28,68.17
XOM,2018-12-27,68.94
XOM,2018-12-26,68.64
XOM,2018-12-24,65.51
XOM,2018-12-21,68.12
XOM,2018-12-20,68.63
XOM,2018-12-19,70.78
XOM,2018-12-18,72
XOM,2018-12-17,74.04
XOM,2018-12-14,75.58
XOM,2018-12-13,76.98
XOM,2018-12-12,76.02
XOM,2018-12-11,76.68
XOM,2018-12-10,76.54
XOM,2018-12-07,77.64
XOM,2018-12-06,78.39
XOM,2018-12-04,79.43
XOM,2018-12-03,81.22
XOM,2018-11-30,79.5
XOM,2018-11-29,79.06
XOM,2018-11-28,78.45
XOM,2018-11-27,77.05
XOM,2018-11-26,76.98
XOM,2018-11-23,75.49
XOM,2018-11-21,77.56
XOM,2018-11-20,76.97
XOM,2018-11-19,79.22
XOM,2018-11-16,78.96
XOM,2018-11-15,78.19
XOM,2018-11-14,77.39
XOM,2018-11-13,78
XOM,2018-11-12,79.83
XOM,2018-11-09,80.87
XOM,2018-11-08,81.71
XOM,2018-11-07,83.03
XOM,2018-11-06,81.99
XOM,2018-11-05,81.64
XOM,2018-11-02,81.95
XOM,2018-11-01,80.67
XOM,2018-10-31,79.68
XOM,2018-10-30,78.78
XOM,2018-10-29,77.05
XOM,2018-10-26,77.53
XOM,2018-10-25,78.31
XOM,2018-10-24,77.62
XOM,2018-10-23,79.84
XOM,2018-10-22,81.15
XOM,2018-10-19,81.97
XOM,2018-10-18,81.85
XOM,2018-10-17,81.5
XOM,2018-10-16,81.2
XOM,2018-10-15,80.82
XOM,2018-10-12,81.38
XOM,2018-10-11,81.6
XOM,2018-10-10,84.52
XOM,2018-10-09,86.51
XOM,2018-10-08,86.13
XOM,2018-10-05,85.34
XOM,2018-10-04,85.58
XOM,2018-10-03,86.15
XOM,2018-10-02,86.46
XOM,2018-10-01,85.81
XOM,2018-09-28,85.02
XOM,2018-09-27,85.77
XOM,2018-09-26,85.78
XOM,2018-09-25,86.5
XOM,2018-09-24,86.6
XOM,2018-09-21,85.17
XOM,2018-09-20,84.82
XOM,2018-09-19,84.63
XOM,2018-09-18,83.63
XOM,2018-09-17,83.41
XOM,2018-09-14,82.92
XOM,2018-09-13,82.32
XOM,2018-09-12,83.13
XOM,2018-09-11,82.86
XOM,2018-09-10,81.71
XOM,2018-09-07,81.83
XOM,2018-09-06,80.46
XOM,2018-09-05,81.36
XOM,2018-09-04,80.29
XOM,2018-08-31,80.17
XOM,2018-08-30,80.51
XOM,2018-08-29,80.86
XOM,2018-08-28,80.28
XOM,2018-08-27,80.4
XOM,2018-08-24,79.62
XOM,2018-08-23,79.08
XOM,2018-08-22,79.96
XOM,2018-08-21,78.83
XOM,2018-08-20,78.81
XOM,2018-08-17,78.26
XOM,2018-08-16,78
XOM,2018-08-15,76.94
XOM,2018-08-14,78.31
XOM,2018-08-13,78.56
XOM,2018-08-10,79.42
XOM,2018-08-09,80.32
XOM,2018-08-08,80.73
XOM,2018-08-07,81.27
XOM,2018-08-06,80.18
XOM,2018-08-03,80.2
XOM,2018-08-02,79.91
XOM,2018-08-01,80.39
XOM,2018-07-31,81.51
XOM,2018-07-30,81.74
XOM,2018-07-27,81.92
XOM,2018-07-26,84.24
XOM,2018-07-25,83.59
XOM,2018-07-24,83.01
XOM,2018-07-23,81.4
XOM,2018-07-20,81.4
XOM,2018-07-19,82.01
XOM,2018-07-18,82.22
XOM,2018-07-17,82.31
XOM,2018-07-16,82.49
XOM,2018-07-13,83.31
XOM,2018-07-12,82.69
XOM,2018-07-11,82.59
XOM,2018-07-10,83.66
XOM,2018-07-09,82.9
XOM,2018-07-06,82.33
XOM,2018-07-05,82.31
XOM,2018-07-03,82.24
XOM,2018-07-02,81.76
XOM,2018-06-29,82.73
XOM,2018-06-28,81.97
XOM,2018-06-27,81.71
XOM,2018-06-26,80.64
XOM,2018-06-25,79.74
XOM,2018-06-22,81.38
XOM,2018-06-21,79.69
XOM,2018-06-20,80.45
XOM,2018-06-19,80.7
XOM,2018-06-18,80.82
XOM,2018-06-15,80.66
XOM,2018-06-14,81.89
XOM,2018-06-13,81.51
XOM,2018-06-12,82.42
XOM,2018-06-11,83.1
XOM,2018-06-08,83.6
XOM,2018-06-07,82.88
XOM,2018-06-06,82.06
XOM,2018-06-05,80.68
XOM,2018-06-04,80.97
XOM,2018-06-01,81.83
XOM,2018-05-31,81.24
XOM,2018-05-30,81.5
XOM,2018-05-29,78.42
XOM,2018-05-25,78.71
XOM,2018-05-24,80.27
XOM,2018-05-23,82.15
XOM,2018-05-22,81.64
XOM,2018-05-21,82.28
XOM,2018-05-18,81.3
XOM,2018-05-17,81.88
XOM,2018-05-16,82.02
XOM,2018-05-15,81.79
XOM,2018-05-14,81.83
XOM,2018-05-11,81.28
XOM,2018-05-10,81.72
XOM,2018-05-09,79.93
XOM,2018-05-08,78.09
XOM,2018-05-07,77.74
XOM,2018-05-04,76.9
XOM,2018-05-03,76.54
XOM,2018-05-02,76.8
XOM,2018-05-01,76.95
XOM,2018-04-30,77.75
XOM,2018-04-27,77.79
XOM,2018-04-26,80.86
XOM,2018-04-25,79.5
XOM,2018-04-24,78.35
XOM,2018-04-23,79.57
XOM,2018-04-20,79
XOM,2018-04-19,79.42
XOM,2018-04-18,79.22
XOM,2018-04-17,78.33
XOM,2018-04-16,78.54
XOM,2018-04-13,77.84
XOM,2018-04-12,77.22
XOM,2018-04-11,77.43
XOM,2018-04-10,77.07
XOM,2018-04-09,74.87
XOM,2018-04-06,74.87
XOM,2018-04-05,76.02
XOM,2018-04-04,74.87
XOM,2018-04-03,75.02
XOM,2018-04-02,73.22
XOM,2018-03-29,74.61
XOM,2018-03-28,72.81
XOM,2018-03-27,73.7
XOM,2018-03-26,74
XOM,2018-03-23,72.89
XOM,2018-03-22,73.5
XOM,2018-03-21,75.04
XOM,2018-03-20,73.99
XOM,2018-03-19,74.15
XOM,2018-03-16,75.12
XOM,2018-03-15,74.42
XOM,2018-03-14,73.6
XOM,2018-03-13,74.53
XOM,2018-03-12,75.24
XOM,2018-03-09,74.56
XOM,2018-03-08,74.12
XOM,2018-03-07,74.26
XOM,2018-03-06,76.18
XOM,2018-03-05,76.27
XOM,2018-03-02,75.55
XOM,2018-03-01,75.2
XOM,2018-02-28,75.74
XOM,2018-02-27,77.5
XOM,2018-02-26,78.84
XOM,2018-02-23,77.53
XOM,2018-02-22,75.86
XOM,2018-02-21,74.89
XOM,2018-02-20,75.75
XOM,2018-02-16,76.54
XOM,2018-02-15,76.21
XOM,2018-02-14,76.46
XOM,2018-02-13,76.3
XOM,2018-02-12,76.42
XOM,2018-02-09,75.78
XOM,2018-02-08,76.07
XOM,2018-02-07,76.94
XOM,2018-02-06,78.35
XOM,2018-02-05,79.72
XOM,2018-02-02,84.53
XOM,2018-02-01,89.07
XOM,2018-01-31,87.3
XOM,2018-01-30,86.78
XOM,2018-01-29,88.01
XOM,2018-01-26,89
XOM,2018-01-25,88.37
XOM,2018-01-24,88.53
XOM,2018-01-23,88.3
XOM,2018-01-22,88.25
XOM,2018-01-19,87.15
XOM,2018-01-18,87.43
XOM,2018-01-17,88
XOM,2018-01-16,86.97
XOM,2018-01-12,87.52
XOM,2018-01-11,86.93
XOM,2018-01-10,86.08
XOM,2018-01-09,86.77
XOM,2018-01-08,87.14
XOM,2018-01-05,86.75
XOM,2018-01-04,86.82
XOM,2018-01-03,86.7
XOM,2018-01-02,85.03
XOM,2017-12-29,83.64
XOM,2017-12-28,84.02
XOM,2017-12-27,83.9
XOM,2017-12-26,83.98
XOM,2017-12-22,83.97
XOM,2017-12-21,83.85
XOM,2017-12-20,82.87
XOM,2017-12-19,82.44
XOM,2017-12-18,82.94
XOM,2017-12-15,83.03
XOM,2017-12-14,82.9
XOM,2017-12-13,83.12
XOM,2017-12-12,82.76
XOM,2017-12-11,83.03
XOM,2017-12-08,82.66
XOM,2017-12-07,82.55
XOM,2017-12-06,82.28
XOM,2017-12-05,82.89
XOM,2017-12-04,83.57
XOM,2017-12-01,83.46
XOM,2017-11-30,83.29
XOM,2017-11-29,82.27
XOM,2017-11-28,81.67
XOM,2017-11-27,81.11
XOM,2017-11-24,81.42
XOM,2017-11-22,81.1
XOM,2017-11-21,80.87
XOM,2017-11-20,80.55
XOM,2017-11-17,80.24
XOM,2017-11-16,80.56
XOM,2017-11-15,81.21
XOM,2017-11-14,82.24
XOM,2017-11-13,82.89
XOM,2017-11-10,82.94
XOM,2017-11-09,83.97
XOM,2017-11-08,83.47
XOM,2017-11-07,83.58
XOM,2017-11-06,83.75
XOM,2017-11-03,83.18
XOM,2017-11-02,83.53
XOM,2017-11-01,83.87
XOM,2017-10-31,83.35
XOM,2017-10-30,83.54
XOM,2017-10-27,83.71
XOM,2017-10-26,83.47
XOM,2017-10-25,83.195
XOM,2017-10-24,83.47
XOM,2017-10-23,83.24
XOM,2017-10-20,83.11
XOM,2017-10-19,82.74
XOM,2017-10-18,82.76
XOM,2017-10-17,82.96
XOM,2017-10-16,82.81
XOM,2017-10-13,82.41
XOM,2017-10-12,82.43
XOM,2017-10-11,82.6
XOM,2017-10-10,82.26
XOM,2017-10-09,82.03
XOM,2017-10-06,81.71
XOM,2017-10-05,82.02
XOM,2017-10-04,81.79
XOM,2017-10-03,81.76
XOM,2017-10-02,81.63
XOM,2017-09-29,81.98
XOM,2017-09-28,82.19
XOM,2017-09-27,81.43
XOM,2017-09-26,80.89
XOM,2017-09-25,80.98
XOM,2017-09-22,79.92
XOM,2017-09-21,79.89
XOM,2017-09-20,80.55
XOM,2017-09-19,80.22
XOM,2017-09-18,80.09
XOM,2017-09-15,80.07
XOM,2017-09-14,80.09
XOM,2017-09-13,79.77
XOM,2017-09-12,79.5
XOM,2017-09-11,79.25
XOM,2017-09-08,78.82
XOM,2017-09-07,79.03
XOM,2017-09-06,78.78
XOM,2017-09-05,77.18
XOM,2017-09-01,76.57
XOM,2017-08-31,76.33
XOM,2017-08-30,76.1
XOM,2017-08-29,76.45
XOM,2017-08-28,76.47
XOM,2017-08-25,76.72
XOM,2017-08-24,76.33
XOM,2017-08-23,76.61
XOM,2017-08-22,76.74
XOM,2017-08-21,76.38
XOM,2017-08-18,76.64
XOM,2017-08-17,76.26
XOM,2017-08-16,77.47
XOM,2017-08-15,78.04
XOM,2017-08-14,78.23
XOM,2017-08-11,78.21
XOM,2017-08-10,78.97
XOM,2017-08-09,80.21
